x0000,y0000
293.,0.6313878719
294.,0.7645312087
295.,0.4514328006
296.,0.6278282641
297.,0.3600464576
298.,0.5533854043
299.,0.3888338943
300.,0.3174890743
301.,0.2300962947
302.,0.2787253863
303.,0.6985245121
304.,0.6872506175
305.,0.6818284831
306.,0.2969556945
307.,0.3355452675
308.,0.0884809635
309.,0.4360702967
310.,0.3483623549
311.,0.4439909667
312.,0.4365668078
313.,0.3028776491
314.,0.6689503657
315.,0.7972115447
316.,0.5064431868
317.,0.1522701314
318.,0.2432020644
319.,0.4416509353
320.,0.6634912234
321.,0.1755529463
322.,0.4766368938
323.,0.7355781093
324.,0.6165213803
325.,0.4587829278
326.,0.3093506743
327.,0.4565203762
328.,0.2589969111
329.,0.4239524736
330.,0.7129332644
331.,0.6664576934
332.,0.4165203413
333.,0.2424944995
334.,0.6251418609
335.,0.6070107388
336.,0.6203357398
337.,0.4257655897
338.,0.1973820632
339.,0.3492989032
340.,0.2549792234
341.,0.6052647287
342.,0.4874813349
343.,0.6475611609
344.,0.3905793156
345.,0.2922791494
346.,0.4136238227
347.,0.4011577424
348.,0.4967891497
349.,0.4068100977
350.,0.5958639773
351.,0.4606674865
352.,0.3852447084
353.,0.1280558789
354.,0.2743226601
355.,0.3339581156
356.,0.6561591339
357.,0.4375906971
358.,1.9096385542
359.,0.4428148124
360.,0.4512210697
361.,0.2360699298
362.,0.0627480807
363.,0.3129749748
364.,0.0219981668
365.,0.1986515536
366.,0.4054544546
367.,0.2520551637
368.,0.6666577368
369.,0.1482764048
370.,0.7960356061
371.,0.5288801041
372.,0.354650086
373.,0.417262232
374.,0.2054455446
375.,0.6232334764
376.,0.3561980929
377.,0.3644032256
378.,0.6061935032
379.,0.2344279715
380.,0.5298146421
381.,0.1833222033
382.,0.1447386999
383.,0.1505917079
384.,0.5431618644
385.,0.5927310799
386.,0.4494289253
387.,0.1171422167
388.,0.3493698236
389.,0.4012213237
390.,0.2584184351
391.,0.0212906265
392.,0.3089553462
393.,0.5665806637
394.,0.5191581910
395.,0.4140631761
396.,0.2644034778
397.,0.1010210914
398.,0.6838700629
399.,0.5165918884
400.,0.1991496875
401.,0.6145489275
402.,0.2475806805
403.,0.2565359852
404.,0.2784959466
405.,0.2308742213
406.,0.596704783
407.,0.6407011248
408.,0.4093034128
409.,0.4092004306
410.,0.4390004007
411.,0.5414731755
412.,0.4449180091
413.,0.4247244377
414.,0.7064342587
415.,0.3691852151
416.,0.5981708119
417.,0.6411689071
